Product_Title,Price
MotoSpeed G12 Wireless Mouse,550৳ 
MotoSpeed G11 2.4G Fashion Wireless Optical Mouse,550৳ 
FANTECH G13 RHASTA II Gaming Mouse,450৳ 
Redragon S101-UK RGB Gaming Keyboard and Gaming Mouse Combo,3,300৳ 
SteelSeries RIVAL 600 Dual Optical Sensor 12000 CPI Gaming Mouse,7,850৳ 
SteelSeries Rival 310 Ergonomic Gaming Mouse,6,100৳ 
SteelSeries Rival 110 Matte 7200 CPI Gaming Mouse,3,200৳ 
Steelseries RIVAL 650 WIRELESS Mouse,11,300৳ 
Razer Lancehead Tournament Edition Gunmetal Edition RGB Gaming Mouse,6,800৳ 
BenQ ZOWIE EC1-B Ergonomic Gaming Mouse,5,999৳ 
Redragon S107 Gaming Keyboard Mouse Mouse Pad Combo,3,000৳ 
Redragon K560 Hara Mechanical gaming keyboard,4,100৳ 
Redragon K552-R KUMARA RAINBOW RGB Backlit Mechanical Gaming Keyboard,3,900৳ 
Redragon M688 Shark 7200DPI Wireless Gaming Mouse,2,100৳ 
Redragon M601 CENTROPHORUS 3200 DPI Gaming Mouse,1,400৳ 
Redragon EMPEROR M909 RGB USB Wired Gaming Mouse,2,100৳ 
Redragon M715 DAGGER High-Precision Programmable Gaming Mouse,1,800৳ 
Redragon M901 Perdition LED RGB Wired Gaming Mouse,2,700৳ 
Thermaltake VENTUS Z Wired Laser Gaming Mouse,5,000৳ 
Thermaltake VENTUS X Optical RGB Gaming Mouse,4,000৳ 
Thermaltake VENTUS R Wired Laser Gaming Mouse,3,300৳ 
Thermaltake Talon Elite RGB Gaming Mouse,2,500৳ 
Thermaltake Talon Blu MO-TLB-WDOOBK-0 Wired Gaming Mouse,1,500৳ 
Lenovo N100 Wireless Mouse,1,200৳ 
Rapoo E9080 Wireless Touchpad Keyboard,3,690৳ 
Rapoo X8210 Wireless Mouse & Keyboard Combo,2,250৳ 
Rapoo X8100 Wireless Multi-media Keyboard & Optical Mouse Combo,2,000৳ 
Rapoo 8000P Wireless Mouse & Keyboard Combo,1,700৳ 
Rapoo N1820 Wired Optical Mouse & Keyboard Combo,745৳ 
Fantech MVP 862 COMMANDER Macro RGB keyboard Mouse Combo,5,490৳ 
Fantech UX1 HERO Ultimate Macro RGB Gaming Mouse,5,000৳ 
FANTECH X15 PHANTOM GAMING MOUSE,1,050৳ 
Fantech X4s TITAN 7 Button Gaming Mouse,1,200৳ 
Fantech V5 WarWick Professional Wired Gaming Mouse,750৳ 
Logitech G603 Wireless Gaming Mouse,6,300৳ 
Rapoo MT6610S Multi-mode wireless mouse Black,1,500৳ 
Gamdias ZEUS M2 RGB Gaming Mouse,2,300৳ 
Rapoo 1620 Wireless Optical Mouse,750৳ 
Rapoo 3510 Plus Wireless Optical Mouse,1,300৳ 
Rapoo 6610M Multi-mode Wireless Mouse,1,500৳ 
Rapoo 7200M Multi-mode Wireless Mouse,0৳ 
Rapoo X1900 Wireless Optical Keyboard-Mouse Combo,1,400৳ 
Rapoo 8100 M Multi-mode Wireless Keyboard Mouse Combo,2,000৳ 
Rapoo 8200M Multi-mode Wireless Keyboard & Mouse,2,425৳ 
Rapoo 9060M Multi-mode Wireless Keyboard & Mouse,2,800৳ 
Rapoo T8 Wireless Laser Touch Mouse,2,850৳ 
Rapoo V280 Optical Gaming Mouse,1,999৳ 
Rapoo M100 Silent Multi-mode Wireless Mouse,950৳ 
Rapoo M300 Silent Multi-mode Wireless Mouse,1,350৳ 
Rapoo M600Silent Multi-mode Wireless Mouse,1,775৳ 
Rapoo MT550 Multi-mode Wireless Mouse,2,050৳ 
Rapoo MT750 Multi-mode Wireless Mouse,3,050৳ 
Rapoo MT350 Multi-mode Wireless Mouse,1,950৳ 
Thermaltake Knucker 4 in 1 Gaming Kit (Mouse Keyboard Mousepad Headphone) Combo,5,900৳ 
ASUS ROG Gladius 6400dpi Gaming Mouse,4,600৳ 
Dell KM717 Premier Wireless Gaming Keyboard and Mouse Combo,8,200৳ 
Dell AW558 Alienware Advanced Gaming Mouse,2,800৳ 
ASUS ROG Pugio Aura RGB Wired Gaming Mouse,5,300৳ 
Asus TUF M5 Ambidextrous ergonomic RGB gaming mouse,0000
ASUS ROG Spatha Wired/Wireless Gaming Mouse,11,000৳ 
ASUS ROG Gladius II Wired Optical Ergonomic Gaming Mouse,5,800৳ 
Thermaltake Talon RGB Mouse,1,500৳ 
Thermaltake IRIS Optical RGB Gaming Mouse,3,000৳ 
Thermaltake NEMESIS Switch Optical RGB Gaming Mouse,4,500৳ 
Corsair HARPOON RGB Gaming Mouse,1,700৳ 
FANTECH ZEUS X5S GAMING MOUSE,1,250৳ 
Logitech M221 Silent Wireless Mouse,1,190৳ 
Logitech M185 Plug-and-play wireless Mouse,1,050৳ 
Logitech M170 Wireless USB Mouse,900৳ 
A4 Tech 3300N Wireless Keyboard With Padless Mouse,1,400৳ 
A4Tech G3-20NS Silent Click Wireless Mouse,550৳ 
A4 Tech G3-280N Energy-saving Wireless Mouse,549৳ 
A4 Tech G3-300N Energy-saving Wireless Mouse,550৳ 
A4 Tech G3-200N Energy-saving Wireless Mouse,550৳ 
A4 Tech Bloody J90 RGB 5000cpi Gaming mouse,2,100৳ 
A4tech Bloody Q80 3200cpi Gaming mouse,1,500৳ 
Fantech WG7 2000DPI Wireless Gaming Mouse,500৳ 
A4 Tech Q5081S Gaming Mouse & Mouse Pad,1,700৳ 
A4 Tech Q8181S Gaming mouse with mouse pad,1,700৳ 
A4 TECH BLOODY A91 GAMING MOUSE,1,900৳ 
Razer Mamba 16000 Wireless Multi Color Ergonomic Gaming Mouse,12,200৳ 
Razer Naga Epic Chroma Wireless Multi-color MMO Gaming Mouse,10,700৳ 
Razer DeathAdder Essential Gaming Mouse,4,500৳ 
Razer Abyssus V2 Essential Ambidextrous Gaming Mouse,3,500৳ 
Razer Mamba Elite Gaming Mouse,7,000৳ 
Razer DeathAdder Expert Ergonomic Gaming Mouse,4,800৳ 
Razer DeathAdder Elite Ergonomic Gaming Mouse,5,800৳ 
Razer Taipan Expert Ambidextrous Gaming Mouse,5,700৳ 
Razer Mamba HyperFlux +Firefly Wireless gaming Mouse,19,500৳ 
Fantech W4 2.4G 6 Buttons 2400DPI Wireless Gaming Optical Mouse,500৳ 
Fantech WG8 2000DPI Wireless Gaming Mouse,550৳ 
FANTECH X14 RGB Gaming Mouse,1,890৳ 
Xiaomi Portable Optical Wireless Bluetooth Mouse,1,600৳ 
Xiaomi Mi Wireless 1200DPI Mouse -White,0000
XIAOMI WIRELESS RGB GAMING MOUSE,3,900৳ 
Fantech KNIGHT X6 Gaming Mouse,1,599৳ 
Logitech M235 WIRELESS MOUSE,1,250৳ 
Cougar 700M Superior Laser Gaming Mouse,4,499৳ 
GIGABYTE GK-KM6150 Keyboard and Mouse combo,800৳ 
Gamdias GKC6000 ARES ESSENTIAL Keyboard Mouse Gaming Combo,1,950৳ 
LOGITECH MX ANYWHERE 2S Wireless Mouse,6,500৳ 
Logitech G402 Hyperion Fury Fps Uitra Fast Gaming Mouse,3,500৳ 
HAVIT MS809 Optical gaming mouse,700৳ 
HAVIT HV-KB653GCM WIRELESS KEYBOARD AND MOUSE,1,150৳ 
HAVIT HV-MS762 Programmable gaming mouse,1,025৳ 
HAVIT HV-MS625GT WIRELESS MOUSE,350৳ 
HAVIT HV-MS62GT WIRELESS MOUSE,600৳ 
HAVIT HV-MS56GT WIRELESS MOUSE,450৳ 
COUGAR 700M Laser eSports gaming mouse,4,200৳ 
GAMDIAS GKC1002 HERMES LITE MECHANICAL Keyboard with Mouse COMBO,4,200৳ 
GAMDIAS HERMES E1A Keyboard Mouse with Mouse mat COMBO,0000
GAMDIAS ARES M1 GAMING COMBO with backlit keyboard & zeus e2 mouse,2,300৳ 
Gamdias Zeus P1 12000 DPI RGB Optical Gaming Mouse,3,200৳ 
Gamdias Zeus E2RGB Optical Gaming Mouse with mouse pad,1,100৳ 
Gamdias ZEUS E1A Optical Gaming Mouse,2,200৳ 
GAMDIAS ZEUS M1 Optical 8 keys  Double RGB Streaming Light Gaming Mouse,3,000৳ 
Gamdias GKC6011 Ares 7 Color Backlit RGB Membrane Gaming Combo Keyboard,2,750৳ 
GAMDIAS Demeter E1 6 Buttons Gaming Mouse,850৳ 
Logitech M187 Ultra Portable Wireless Mouse,1,050৳ 
BenQ Zowie FK1 E-Sports Ambidextrous Optical Gaming Mouse,4,899৳ 
BenQ Zowie FK2 E-Sports Ambidextrous Optical Gaming Mouse,4,899৳ 
BenQ Zowie ZA13 E-Sports Ambidextrous Optical Gaming Mouse,4,899৳ 
BenQ Zowie ZA12 E-Sports Optical Gaming Mouse,5,300৳ 
BenQ Zowie ZA11 E-Sports Optical Gaming Mouse,4,899৳ 
BenQ ZOWIE EC2-B Ergonomic Gaming Mouse,0000
FANTECH X9 THOR USB GAMING MOUSE,850৳ 
Fantech W188  Wireless Mouse,550৳ 
Fantech X13 USB Wired Gaming Mouse,1,300৳ 
Fantech Kael V2 Full Function Gaming Mouse,650৳ 
Fantech X5 4800dpi USB  Optical Gaming Mouse,1,050৳ 
Cougar MINOS X2 Wired 3000 DPI USB Optical Gaming Mouse,1,349৳ 
Genius X-G600 Black Gaming Mouse,1,650৳ 
Genius NX-7000Wireless mouse,750৳ 
Genius DX-130 USB Mouse,350৳ 
Fantech X7 BLAST RGB Gaming Mouse,700৳ 
Fantech VARUS X3 7D Gaming Mouse,1,500৳ 
Fantech DAREDEVIL X11 Gaming Mouse,2,200৳ 
FANTECH W4 2000DPI Wireless Gaming Mouse,500৳ 
Motospeed V40 Electron optical USB Gaming Mouse,1,350৳ 
Motospeed V10 USB RGB Gaming Mouse,1,450৳ 
Fantech X8 USB Wired 4000dpi 6 Buttons Optical Gaming Mouse with LED Backlight,1,800৳ 
Cougar Minos X3 Optical Gaming Mouse Ergonomic USB Wired Mice for Gamers,1,850৳ 
Razer Mamba Tournament Edition eSport Gaming Mouse,6,250৳ 
Rapoo V210 RGB Optical Gaming Mouse,1,599৳ 
Rapoo V16 VPRO Gaming Optical Mouse,949৳ 
Rapoo 3100P 5GHz Wireless Optical Mouse,1,190৳ 
Logitech G403 Optical Gaming Corded Mouse with High Performance Gaming Sensor,6,500৳ 
Logitech G90 Optical Gaming Mouse,1,600৳ 
Logitech G302 Daedalus Prime Moba 6 Buttons Gaming Mouse,2,999৳ 
Logitech G102 Prodigy Optical Gaming Mouse,1,900৳ 
Logitech G502 | Proteus Spectrum RGB Tunable Gaming Mouse,8,000৳ 
A4tech bloody A91 Optic Micro Switch gaming mouse,1,800৳ 
A4 TECH V3 | WIRED 3200 DPI BLOODY GAMING MOUSE,1,700৳ 
Rapoo | 1830 Wireless Optical Mouse & Keyboard Combo,1,850৳ 
Rapoo | 8200P 5G Multimedia Programmable Wireless Keyboard and Mouse Combo,1,950৳ 
Rapoo | Wireless 8000 Mini Mouse & Keyboard Combo,1,460৳ 
Logitech M171 Wireless Mouse,900৳ 
Logitech M165 Wireless Mouse,780৳ 
HP Z4000 Star Wars Wireless Mouse,2,000৳ 
HP Z3700 Wireless Mouse,825৳ 
A4 Tech OP-620D Wired USB Mouse,350৳ 
Genius GX Maurus X gaming Mouse,2,950৳ 
Genius X-G300 LED Six Button Gaming Mouse,1,490৳ 
HP X1000 Wired Mouse,490৳ 
A4Tech Bloody V3M Gaming Mouse,1,700৳ 
A4Tech BLOODY A90 GAMING MOUSE,1,900৳ 
HP Wireless Mouse X3000,800৳ 
HP X500 Optical Wired USB Mouse,400৳ 
Logitech M105 Wired Mouse,500৳ 
Logitech M90 Wired USB Mouse,400৳ 
Logitech B100 Optical USB Mouse,400৳ 
The performance of the Intel UHD Graphics 620 in Gaming,0000
ASUS SonicMaster Technology,0000
NVIDIA GeForce MX250 Graphics Chipset For Laptop,0000
